constituency_id,state_id,district_id,name,normalized_name
C001,ST01,D001,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands
C002,ST02,D002,VIZIANAGARAM,Vizianagaram
C003,ST02,D003,MACHILIPATNAM,Machilipatnam
C004,ST02,D004,NANDYAL,Nandyal
C005,ST02,D005,GUNTUR,Guntur
C006,ST02,D006,AMALAPURAM,Amalapuram
C007,ST02,D007,CHITTOOR,Chittoor
C008,ST02,D006,AMALAPURAM,Amalapuram
C009,ST02,D008,KURNOOL,Kurnool
C010,ST02,D009,VIJAYAWADA,Vijayawada
C011,ST02,D010,SRIKAKULAM,Srikakulam
C012,ST02,D011,ARAKU,Araku
C013,ST02,D012,NARASARAOPET,Narasaraopet
C014,ST02,D013,TIRUPATI,Tirupati
C015,ST02,D014,ONGOLE,Ongole
C016,ST02,D015,VISAKHAPATNAM,Visakhapatnam
C017,ST02,D016,RAJAMPET,Rajampet
C018,ST02,D017,RAJAHMUNDRY,Rajahmundry
C019,ST02,D018,ELURU,Eluru
C020,ST02,D019,NARASAPURAM,Narasapuram
C021,ST02,D020,NANDIGAMA,Nandigama
C022,ST02,D021,NELLORE,Nellore
C023,ST02,D022,KADAPA,Kadapa
C024,ST02,D023,HINDUPUR,Hindupur
C025,ST02,D024,ANANTAPUR,Anantapur
C026,ST03,D025,ARUNACHAL WEST,Arunachal West
C027,ST03,D026,ARUNACHAL EAST,Arunachal East
C028,ST04,D027,JORHAT,Jorhat
C029,ST04,D028,DARRANG-UDALGURI,Darrang-udalguri
C030,ST04,D027,JORHAT,Jorhat
C031,ST04,D029,KARIMGANJ,Karimganj
C032,ST04,D030,TEZPUR,Tezpur
C033,ST04,D031,SILCHAR,Silchar
C034,ST04,D032,NAGAON,Nagaon
C035,ST04,D033,DHUBRI,Dhubri
C036,ST04,D034,SONITPUR,Sonitpur
C037,ST04,D035,DIBRUGARH,Dibrugarh
C038,ST04,D036,DIPHU,Diphu
C039,ST04,D037,GUWAHATI,Guwahati
C040,ST04,D038,KOKRAJHAR,Kokrajhar
C041,ST04,D039,BARPETA,Barpeta
C042,ST05,D040,AURANGABAD,Aurangabad
C043,ST05,D041,GOPALGANJ,Gopalganj
C044,ST05,D042,MADHUBANI,Madhubani
C045,ST05,D043,HAJIPUR,Hajipur
C046,ST05,D044,SITAMARHI,Sitamarhi
C047,ST05,D045,SUPAUL,Supaul
C048,ST05,D046,MADHEPURA,Madhepura
C049,ST05,D047,BEGUSARAI,Begusarai
C050,ST05,D048,DARBHANGA,Darbhanga
C051,ST05,D049,GAYA,Gaya
C052,ST05,D050,MUNGER,Munger
C053,ST05,D051,SHEOHAR,Sheohar
C054,ST05,D052,PATLIPUTRA,Patliputra
C055,ST05,D053,KISHANGANJ,Kishanganj
C056,ST05,D054,KHAGARIA,Khagaria
C057,ST05,D055,UJIARPUR,Ujiarpur
C058,ST05,D056,PURNEA,Purnea
C059,ST05,D057,ARARIA,Araria
C060,ST05,D058,PURVI CHAMPARAN,Purvi Champaran
C061,ST05,D059,MUZAFFARPUR,Muzaffarpur
C062,ST05,D060,SARAN,Saran
C063,ST05,D052,PATLIPUTRA,Patliputra
C064,ST05,D061,JHANJHARPUR,Jhanjharpur
C065,ST05,D062,PATNA SAHIB,Patna Sahib
C066,ST05,D063,SAMASTIPUR,Samastipur
C067,ST05,D064,PASCHIM CHAMPARAN,Paschim Champaran
C068,ST05,D056,PURNEA,Purnea
C069,ST05,D063,SAMASTIPUR,Samastipur
C070,ST05,D065,ARRAH,Arrah
C071,ST05,D066,BUXAR,Buxar
C072,ST05,D067,JAHANABAD,Jahanabad
C073,ST05,D068,KATIHAR,Katihar
C074,ST05,D069,NAWADA,Nawada
C075,ST05,D068,KATIHAR,Katihar
C076,ST05,D070,VALMIKI NAGAR,Valmiki Nagar
C077,ST05,D071,BHAGALPUR,Bhagalpur
C078,ST05,D072,BANKA,Banka
C079,ST05,D073,MAHARAJGANJ,Maharajganj
C080,ST05,D074,SIWAN,Siwan
C081,ST05,D075,VAISHALI,Vaishali
C082,ST06,D076,CHANDIGARH,Chandigarh
C083,ST07,D077,RAIPUR,Raipur
C084,ST07,D078,SURGUJA,Surguja
C085,ST07,D079,BILASPUR,Bilaspur
C086,ST07,D080,KORBA,Korba
C087,ST07,D081,JANJGIR-CHAMPA,Janjgir-champa
C088,ST07,D082,BASTAR,Bastar
C089,ST07,D083,RAIGARH,Raigarh
C090,ST07,D084,MAHASAMUND,Mahasamund
C091,ST07,D085,RAJNANDGAON,Rajnandgaon
C092,ST07,D079,BILASPUR,Bilaspur
C093,ST07,D086,DURG,Durg
C094,ST08,D087,DADRA AND NAGAR HAVELI,Dadra And Nagar Haveli
C095,ST08,D088,DAMAN AND DIU,Daman And Diu
C096,ST09,D089,NEW DELHI,New Delhi
