district_id,state_id,name,normalized_name
D001,ST01,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands
D002,ST02,VIZIANAGARAM,Vizianagaram
D003,ST02,MACHILIPATNAM,Machilipatnam
D004,ST02,NANDYAL,Nandyal
D005,ST02,GUNTUR,Guntur
D006,ST02,AMALAPURAM,Amalapuram
D007,ST02,CHITTOOR,Chittoor
D008,ST02,KURNOOL,Kurnool
D009,ST02,VIJAYAWADA,Vijayawada
D010,ST02,SRIKAKULAM,Srikakulam
D011,ST02,ARAKU,Araku
D012,ST02,NARASARAOPET,Narasaraopet
D013,ST02,TIRUPATI,Tirupati
D014,ST02,ONGOLE,Ongole
D015,ST02,VISAKHAPATNAM,Visakhapatnam
D016,ST02,RAJAMPET,Rajampet
D017,ST02,RAJAHMUNDRY,Rajahmundry
D018,ST02,ELURU,Eluru
D019,ST02,NARASAPURAM,Narasapuram
D020,ST02,NANDIGAMA,Nandigama
D021,ST02,NELLORE,Nellore
D022,ST02,KADAPA,Kadapa
D023,ST02,HINDUPUR,Hindupur
D024,ST02,ANANTAPUR,Anantapur
D025,ST03,ARUNACHAL WEST,Arunachal West
D026,ST03,ARUNACHAL EAST,Arunachal East
D027,ST04,JORHAT,Jorhat
D028,ST04,DARRANG-UDALGURI,Darrang-udalguri
D029,ST04,KARIMGANJ,Karimganj
D030,ST04,TEZPUR,Tezpur
D031,ST04,SILCHAR,Silchar
D032,ST04,NAGAON,Nagaon
D033,ST04,DHUBRI,Dhubri
D034,ST04,SONITPUR,Sonitpur
D035,ST04,DIBRUGARH,Dibrugarh
D036,ST04,DIPHU,Diphu
D037,ST04,GUWAHATI,Guwahati
D038,ST04,KOKRAJHAR,Kokrajhar
D039,ST04,BARPETA,Barpeta
D040,ST05,AURANGABAD,Aurangabad
D041,ST05,GOPALGANJ,Gopalganj
D042,ST05,MADHUBANI,Madhubani
D043,ST05,HAJIPUR,Hajipur
D044,ST05,SITAMARHI,Sitamarhi
D045,ST05,SUPAUL,Supaul
D046,ST05,MADHEPURA,Madhepura
D047,ST05,BEGUSARAI,Begusarai
D048,ST05,DARBHANGA,Darbhanga
D049,ST05,GAYA,Gaya
D050,ST05,MUNGER,Munger
D051,ST05,SHEOHAR,Sheohar
D052,ST05,PATLIPUTRA,Patliputra
D053,ST05,KISHANGANJ,Kishanganj
D054,ST05,KHAGARIA,Khagaria
D055,ST05,UJIARPUR,Ujiarpur
D056,ST05,PURNEA,Purnea
D057,ST05,ARARIA,Araria
D058,ST05,PURVI CHAMPARAN,Purvi Champaran
D059,ST05,MUZAFFARPUR,Muzaffarpur
D060,ST05,SARAN,Saran
D061,ST05,JHANJHARPUR,Jhanjharpur
D062,ST05,PATNA SAHIB,Patna Sahib
D063,ST05,SAMASTIPUR,Samastipur
D064,ST05,PASCHIM CHAMPARAN,Paschim Champaran
D065,ST05,ARRAH,Arrah
D066,ST05,BUXAR,Buxar
D067,ST05,JAHANABAD,Jahanabad
D068,ST05,KATIHAR,Katihar
D069,ST05,NAWADA,Nawada
D070,ST05,VALMIKI NAGAR,Valmiki Nagar
D071,ST05,BHAGALPUR,Bhagalpur
D072,ST05,BANKA,Banka
D073,ST05,MAHARAJGANJ,Maharajganj
D074,ST05,SIWAN,Siwan
D075,ST05,VAISHALI,Vaishali
D076,ST06,CHANDIGARH,Chandigarh
D077,ST07,RAIPUR,Raipur
D078,ST07,SURGUJA,Surguja
D079,ST07,BILASPUR,Bilaspur
D080,ST07,KORBA,Korba
D081,ST07,JANJGIR-CHAMPA,Janjgir-champa
D082,ST07,BASTAR,Bastar
D083,ST07,RAIGARH,Raigarh
D084,ST07,MAHASAMUND,Mahasamund
D085,ST07,RAJNANDGAON,Rajnandgaon
D086,ST07,DURG,Durg
D087,ST08,DADRA AND NAGAR HAVELI,Dadra And Nagar Haveli
D088,ST08,DAMAN AND DIU,Daman And Diu
D089,ST09,NEW DELHI,New Delhi
D090,ST09,EAST DELHI,East Delhi
D091,ST09,WEST DELHI,West Delhi
D092,ST09,NORTH EAST DELHI,North East Delhi
D093,ST09,CHANDNI CHOWK,Chandni Chowk
D094,ST09,SOUTH DELHI,South Delhi
D095,ST09,NORTH WEST DELHI,North West Delhi
D096,ST10,NORTH GOA,North Goa
D097,ST10,SOUTH GOA,South Goa
D098,ST11,GANDHINAGAR,Gandhinagar
D099,ST11,PATAN,Patan
D100,ST11,SURENDRANAGAR,Surendranagar
D101,ST11,NAVSARI,Navsari
D102,ST11,KHEDA,Kheda
D103,ST11,AHMEDABAD WEST,Ahmedabad West
D104,ST11,BANASKANTHA,Banaskantha
D105,ST11,AHMEDABAD EAST,Ahmedabad East
D106,ST11,VADODARA,Vadodara
D107,ST11,DAHOD,Dahod
D108,ST11,PORBANDAR,Porbandar
D109,ST11,SURAT,Surat
D110,ST11,BHAVNAGAR,Bhavnagar
D111,ST11,RAJKOT,Rajkot
D112,ST11,BARDOLI,Bardoli
D113,ST11,JAMNAGAR,Jamnagar
D114,ST11,JUNAGADH,Junagadh
D115,ST11,SABARKANTHA,Sabarkantha
D116,ST11,KACHCHH,Kachchh
D117,ST11,ANAND,Anand
D118,ST11,VALSAD,Valsad
D119,ST11,BHARUCH,Bharuch
D120,ST11,PANCHMAHAL,Panchmahal
D121,ST11,MEHSANA,Mehsana
D122,ST11,AMRELI,Amreli
D123,ST12,ROHTAK,Rohtak
D124,ST12,BHIWANI-MAHENDRAGARH,Bhiwani-mahendragarh
D125,ST12,HISAR,Hisar
D126,ST12,FARIDABAD,Faridabad
D127,ST12,SIRSA,Sirsa
D128,ST12,KARNAL,Karnal
D129,ST12,KURUKSHETRA,Kurukshetra
D130,ST12,GURGAON,Gurgaon
D131,ST12,SONIPAT,Sonipat
D132,ST12,AMBALA,Ambala
D133,ST13,HAMIRPUR,Hamirpur
D134,ST13,MANDI,Mandi
D135,ST13,KANGRA,Kangra
D136,ST13,SHIMLA,Shimla
D137,ST14,SRINAGAR,Srinagar
D138,ST14,BARAMULLA,Baramulla
D139,ST14,UDHAMPUR,Udhampur
D140,ST14,JAMMU,Jammu
D141,ST14,ANANTNAG-RAJOURI,Anantnag-rajouri
D142,ST15,KODERMA,Koderma
D143,ST15,JAMSHEDPUR,Jamshedpur
D144,ST15,DHANBAD,Dhanbad
D145,ST15,SINGHBHUM,Singhbhum
D146,ST15,CHATRA,Chatra
D147,ST15,HAZARIBAGH,Hazaribagh
D148,ST15,DUMKA,Dumka
D149,ST15,GODDA,Godda
D150,ST15,RANCHI,Ranchi
D151,ST15,LOHARDAGA,Lohardaga
D152,ST15,RAJMAHAL,Rajmahal
D153,ST15,PALAMU,Palamu
D154,ST15,GIRIDIH,Giridih
D155,ST15,KHUNTI,Khunti
D156,ST16,HAVERI,Haveri
D157,ST16,SHIMOGA,Shimoga
D158,ST16,BANGALORE RURAL,Bangalore Rural
D159,ST16,GULBARGA,Gulbarga
D160,ST16,CHITRADURGA,Chitradurga
D161,ST16,MANDYA,Mandya
D162,ST16,BELGAUM,Belgaum
D163,ST16,CHIKKABALLAPUR,Chikkaballapur
D164,ST16,DHARWAD,Dharwad
D165,ST16,KOLAR,Kolar
D166,ST16,BANGALORE NORTH,Bangalore North
D167,ST16,BANGALORE SOUTH,Bangalore South
D168,ST16,TUMKUR,Tumkur
D169,ST16,UTTARA KANNADA,Uttara Kannada
D170,ST16,MYSORE,Mysore
D171,ST16,DAVANAGERE,Davanagere
D172,ST16,CHIKKODI,Chikkodi
D173,ST16,BANGALORE CENTRAL,Bangalore Central
D174,ST16,BIJAPUR,Bijapur
D175,ST16,UDUPI CHIKMAGALUR,Udupi Chikmagalur
D176,ST16,DAKSHINA KANNADA,Dakshina Kannada
D177,ST16,HASSAN,Hassan
D178,ST16,RAICHUR,Raichur
D179,ST16,BELLARY,Bellary
D180,ST17,ALAPPUZHA,Alappuzha
D181,ST17,PATHANAMTHITTA,Pathanamthitta
D182,ST17,IDUKKI,Idukki
D183,ST17,MALAPPURAM,Malappuram
D184,ST17,ERNAKULAM,Ernakulam
D185,ST17,KOTTAYAM,Kottayam
D186,ST17,THRISSUR,Thrissur
D187,ST17,ALATHUR,Alathur
D188,ST17,KANNUR,Kannur
D189,ST17,KOZHIKODE,Kozhikode
D190,ST17,KOLLAM,Kollam
D191,ST17,KASARAGOD,Kasaragod
D192,ST17,VADAKARA,Vadakara
D193,ST17,THIRUVANANTHAPURAM,Thiruvananthapuram
D194,ST17,PALAKKAD,Palakkad
D195,ST17,MAVELIKARA,Mavelikara
D196,ST17,PONNANI,Ponnani
D197,ST17,WAYANAD,Wayanad
D198,ST18,LADAKH,Ladakh
D199,ST19,LAKSHADWEEP,Lakshadweep
D200,ST20,BHOPAL,Bhopal
D201,ST20,UJJAIN,Ujjain
D202,ST20,JABALPUR,Jabalpur
D203,ST20,GWALIOR,Gwalior
D204,ST20,KHAJURAHO,Khajuraho
D205,ST20,KHARGONE,Khargone
D206,ST20,SHAHDOL,Shahdol
D207,ST20,GUNA,Guna
D208,ST20,MORENA,Morena
D209,ST20,SAGAR,Sagar
D210,ST20,DEWAS,Dewas
D211,ST20,RATLAM,Ratlam
D212,ST20,RAJGARH,Rajgarh
D213,ST20,BHIND,Bhind
D214,ST20,DHAR,Dhar
D215,ST20,INDORE,Indore
D216,ST20,VIDISHA,Vidisha
D217,ST20,MANDSAUR,Mandsaur
D218,ST20,TIKAMGARH,Tikamgarh
D219,ST20,BETUL,Betul
D220,ST20,MANDLA,Mandla
D221,ST20,REWA,Rewa
D222,ST20,SATNA,Satna
D223,ST20,SIDHI,Sidhi
D224,ST20,CHHINDWARA,Chhindwara
D225,ST20,BALAGHAT,Balaghat
D226,ST20,HOSHANGABAD,Hoshangabad
D227,ST21,MUMBAI NORTH WEST,Mumbai North West
D228,ST21,AKOLA,Akola
D229,ST21,MUMBAI SOUTH,Mumbai South
D230,ST21,AMRAVATI,Amravati
D231,ST21,SHIRDI,Shirdi
D232,ST21,CHHATRAPATI SAMBHAJINAGAR,Chhatrapati Sambhajinagar
D233,ST21,NANDED,Nanded
D234,ST21,KOLHAPUR,Kolhapur
D235,ST21,MADHA,Madha
D236,ST21,NANDURBAR,Nandurbar
D237,ST21,PALGHAR,Palghar
D238,ST21,OSMANABAD,Osmanabad
D239,ST21,BULDHANA,Buldhana
D240,ST21,PUNE,Pune
D241,ST21,BHANDARA-GONDIYA,Bhandara-gondiya
D242,ST21,THANE,Thane
D243,ST21,NAGPUR,Nagpur
D244,ST21,DHARASHIV,Dharashiv
D245,ST21,MUMBAI NORTH,Mumbai North
D246,ST21,SOLAPUR,Solapur
D247,ST21,CHANDRAPUR,Chandrapur
D248,ST21,WARDHA,Wardha
D249,ST21,MUMBAI SOUTH CENTRAL,Mumbai South Central
D250,ST21,MUMBAI NORTH EAST,Mumbai North East
D251,ST21,SANGLI,Sangli
D252,ST21,YAVATMAL-WASHIM,Yavatmal-washim
D253,ST21,HINGOLI,Hingoli
D254,ST21,LATUR,Latur
D255,ST21,KALYAN,Kalyan
D256,ST21,JALGAON,Jalgaon
D257,ST21,RAIGAD,Raigad
D258,ST21,BARAMATI,Baramati
D259,ST21,SATARA,Satara
D260,ST21,MUMBAI NORTH CENTRAL,Mumbai North Central
D261,ST21,DINDORI,Dindori
D262,ST21,DHULE,Dhule
D263,ST21,NASHIK,Nashik
