ia_id,name,normalized_name,agency_type,state_id,projects_count,total_budget_handled,hhi_score,average_risk_score
IA001,Andaman & Nicobar Islands PWD Executive Division,Andaman & Nicobar Islands PWD Executive Division,PWD,ST01,4,16250000,323,0
IA002,Andaman & Nicobar Islands DRDA Executive Division,Andaman & Nicobar Islands DRDA Executive Division,DRDA,ST01,1,5940000,43,0
IA003,Andaman & Nicobar Islands MUNICIPAL Executive Division,Andaman & Nicobar Islands MUNICIPAL Executive Division,MUNICIPAL,ST01,8,28200000,973,0
IA004,Andaman & Nicobar Islands PHED Executive Division,Andaman & Nicobar Islands PHED Executive Division,PHED,ST01,3,12930000,204,0
IA005,Andaman & Nicobar Islands ZILLA_PARISHAD Executive Division,Andaman & Nicobar Islands ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST01,1,4110000,21,0
IA006,Andaman & Nicobar Islands ELECTRICITY Executive Division,Andaman & Nicobar Islands ELECTRICITY Executive Division,ELECTRICITY,ST01,3,12820000,201,0
IA007,Andaman & Nicobar Islands IRRIGATION Executive Division,Andaman & Nicobar Islands IRRIGATION Executive Division,IRRIGATION,ST01,2,10170000,127,0
IA008,Andhra Pradesh PWD Executive Division,Andhra Pradesh PWD Executive Division,PWD,ST02,74,318410000,200,0
IA009,Andhra Pradesh DRDA Executive Division,Andhra Pradesh DRDA Executive Division,DRDA,ST02,70,333160000,219,0
IA010,Andhra Pradesh MUNICIPAL Executive Division,Andhra Pradesh MUNICIPAL Executive Division,MUNICIPAL,ST02,70,371040000,272,0
IA011,Andhra Pradesh PHED Executive Division,Andhra Pradesh PHED Executive Division,PHED,ST02,57,278940000,154,0
IA012,Andhra Pradesh ZILLA_PARISHAD Executive Division,Andhra Pradesh ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST02,57,326640000,211,0
IA013,Andhra Pradesh ELECTRICITY Executive Division,Andhra Pradesh ELECTRICITY Executive Division,ELECTRICITY,ST02,58,266890000,141,0
IA014,Andhra Pradesh IRRIGATION Executive Division,Andhra Pradesh IRRIGATION Executive Division,IRRIGATION,ST02,73,355570000,250,0
IA015,Arunachal Pradesh PWD Executive Division,Arunachal Pradesh PWD Executive Division,PWD,ST03,8,32880000,317,0
IA016,Arunachal Pradesh DRDA Executive Division,Arunachal Pradesh DRDA Executive Division,DRDA,ST03,4,15950000,75,0
IA017,Arunachal Pradesh MUNICIPAL Executive Division,Arunachal Pradesh MUNICIPAL Executive Division,MUNICIPAL,ST03,9,40430000,479,0
IA018,Arunachal Pradesh PHED Executive Division,Arunachal Pradesh PHED Executive Division,PHED,ST03,5,23250000,158,0
IA019,Arunachal Pradesh ZILLA_PARISHAD Executive Division,Arunachal Pradesh ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST03,5,27040000,214,0
IA020,Arunachal Pradesh ELECTRICITY Executive Division,Arunachal Pradesh ELECTRICITY Executive Division,ELECTRICITY,ST03,5,20900000,128,0
IA021,Arunachal Pradesh IRRIGATION Executive Division,Arunachal Pradesh IRRIGATION Executive Division,IRRIGATION,ST03,5,24270000,173,0
IA022,Assam PWD Executive Division,Assam PWD Executive Division,PWD,ST04,44,183760000,239,0
IA023,Assam DRDA Executive Division,Assam DRDA Executive Division,DRDA,ST04,45,191400000,259,0
IA024,Assam MUNICIPAL Executive Division,Assam MUNICIPAL Executive Division,MUNICIPAL,ST04,33,150230000,160,0
IA025,Assam PHED Executive Division,Assam PHED Executive Division,PHED,ST04,42,194390000,267,0
IA026,Assam ZILLA_PARISHAD Executive Division,Assam ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST04,37,159370000,180,0
IA027,Assam ELECTRICITY Executive Division,Assam ELECTRICITY Executive Division,ELECTRICITY,ST04,26,121660000,105,0
IA028,Assam IRRIGATION Executive Division,Assam IRRIGATION Executive Division,IRRIGATION,ST04,42,188250000,251,0
IA029,Bihar PWD Executive Division,Bihar PWD Executive Division,PWD,ST05,112,531050000,246,0
IA030,Bihar DRDA Executive Division,Bihar DRDA Executive Division,DRDA,ST05,101,454850000,180,0
IA031,Bihar MUNICIPAL Executive Division,Bihar MUNICIPAL Executive Division,MUNICIPAL,ST05,109,493030000,212,0
IA032,Bihar PHED Executive Division,Bihar PHED Executive Division,PHED,ST05,99,465140000,188,0
IA033,Bihar ZILLA_PARISHAD Executive Division,Bihar ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST05,109,518350000,234,0
IA034,Bihar ELECTRICITY Executive Division,Bihar ELECTRICITY Executive Division,ELECTRICITY,ST05,106,476900000,198,0
IA035,Bihar IRRIGATION Executive Division,Bihar IRRIGATION Executive Division,IRRIGATION,ST05,103,449260000,176,0
IA036,Chandigarh PWD Executive Division,Chandigarh PWD Executive Division,PWD,ST06,3,9800000,116,0
IA037,Chandigarh DRDA Executive Division,Chandigarh DRDA Executive Division,DRDA,ST06,5,18280000,403,0
IA038,Chandigarh MUNICIPAL Executive Division,Chandigarh MUNICIPAL Executive Division,MUNICIPAL,ST06,0,0,0,0
IA039,Chandigarh PHED Executive Division,Chandigarh PHED Executive Division,PHED,ST06,5,28380000,972,0
IA040,Chandigarh ZILLA_PARISHAD Executive Division,Chandigarh ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST06,6,23880000,688,0
IA041,Chandigarh ELECTRICITY Executive Division,Chandigarh ELECTRICITY Executive Division,ELECTRICITY,ST06,3,10690000,138,0
IA042,Chandigarh IRRIGATION Executive Division,Chandigarh IRRIGATION Executive Division,IRRIGATION,ST06,0,0,0,0
IA043,Chhattisgarh PWD Executive Division,Chhattisgarh PWD Executive Division,PWD,ST07,30,131850000,164,0
IA044,Chhattisgarh DRDA Executive Division,Chhattisgarh DRDA Executive Division,DRDA,ST07,30,140000000,185,0
IA045,Chhattisgarh MUNICIPAL Executive Division,Chhattisgarh MUNICIPAL Executive Division,MUNICIPAL,ST07,28,125330000,148,0
IA046,Chhattisgarh PHED Executive Division,Chhattisgarh PHED Executive Division,PHED,ST07,40,234850000,520,0
IA047,Chhattisgarh ZILLA_PARISHAD Executive Division,Chhattisgarh ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST07,30,141170000,188,0
IA048,Chhattisgarh ELECTRICITY Executive Division,Chhattisgarh ELECTRICITY Executive Division,ELECTRICITY,ST07,27,154150000,224,0
IA049,Chhattisgarh IRRIGATION Executive Division,Chhattisgarh IRRIGATION Executive Division,IRRIGATION,ST07,26,102450000,99,0
IA050,Dadra & Nagar Haveli & Daman & Diu PWD Executive Division,Dadra & Nagar Haveli & Daman & Diu PWD Executive Division,PWD,ST08,1,4410000,9,0
IA051,Dadra & Nagar Haveli & Daman & Diu DRDA Executive Division,Dadra & Nagar Haveli & Daman & Diu DRDA Executive Division,DRDA,ST08,3,15950000,112,0
IA052,Dadra & Nagar Haveli & Daman & Diu MUNICIPAL Executive Division,Dadra & Nagar Haveli & Daman & Diu MUNICIPAL Executive Division,MUNICIPAL,ST08,6,24970000,276,0
IA053,Dadra & Nagar Haveli & Daman & Diu PHED Executive Division,Dadra & Nagar Haveli & Daman & Diu PHED Executive Division,PHED,ST08,6,22500000,224,0
IA054,Dadra & Nagar Haveli & Daman & Diu ZILLA_PARISHAD Executive Division,Dadra & Nagar Haveli & Daman & Diu ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST08,4,17920000,142,0
IA055,Dadra & Nagar Haveli & Daman & Diu ELECTRICITY Executive Division,Dadra & Nagar Haveli & Daman & Diu ELECTRICITY Executive Division,ELECTRICITY,ST08,7,33260000,489,0
IA056,Dadra & Nagar Haveli & Daman & Diu IRRIGATION Executive Division,Dadra & Nagar Haveli & Daman & Diu IRRIGATION Executive Division,IRRIGATION,ST08,9,31380000,435,0
IA057,Delhi (NCT) PWD Executive Division,Delhi (NCT) PWD Executive Division,PWD,ST09,24,105460000,263,0
IA058,Delhi (NCT) DRDA Executive Division,Delhi (NCT) DRDA Executive Division,DRDA,ST09,21,106750000,270,0
IA059,Delhi (NCT) MUNICIPAL Executive Division,Delhi (NCT) MUNICIPAL Executive Division,MUNICIPAL,ST09,18,107920000,276,0
IA060,Delhi (NCT) PHED Executive Division,Delhi (NCT) PHED Executive Division,PHED,ST09,19,84040000,167,0
IA061,Delhi (NCT) ZILLA_PARISHAD Executive Division,Delhi (NCT) ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST09,17,81020000,155,0
IA062,Delhi (NCT) ELECTRICITY Executive Division,Delhi (NCT) ELECTRICITY Executive Division,ELECTRICITY,ST09,12,53440000,68,0
IA063,Delhi (NCT) IRRIGATION Executive Division,Delhi (NCT) IRRIGATION Executive Division,IRRIGATION,ST09,19,111150000,293,0
IA064,Goa PWD Executive Division,Goa PWD Executive Division,PWD,ST10,6,24440000,211,0
IA065,Goa DRDA Executive Division,Goa DRDA Executive Division,DRDA,ST10,4,18310000,118,0
IA066,Goa MUNICIPAL Executive Division,Goa MUNICIPAL Executive Division,MUNICIPAL,ST10,8,31700000,355,0
IA067,Goa PHED Executive Division,Goa PHED Executive Division,PHED,ST10,1,2190000,2,0
IA068,Goa ZILLA_PARISHAD Executive Division,Goa ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST10,6,29760000,313,0
IA069,Goa ELECTRICITY Executive Division,Goa ELECTRICITY Executive Division,ELECTRICITY,ST10,5,19940000,140,0
IA070,Goa IRRIGATION Executive Division,Goa IRRIGATION Executive Division,IRRIGATION,ST10,8,41910000,620,0
IA071,Gujarat PWD Executive Division,Gujarat PWD Executive Division,PWD,ST11,80,381620000,277,0
IA072,Gujarat DRDA Executive Division,Gujarat DRDA Executive Division,DRDA,ST11,72,289220000,159,0
IA073,Gujarat MUNICIPAL Executive Division,Gujarat MUNICIPAL Executive Division,MUNICIPAL,ST11,75,371970000,263,0
IA074,Gujarat PHED Executive Division,Gujarat PHED Executive Division,PHED,ST11,60,270360000,139,0
IA075,Gujarat ZILLA_PARISHAD Executive Division,Gujarat ZILLA_PARISHAD Executive Division,ZILLA_PARISHAD,ST11,60,257860000,126,0
IA076,Gujarat ELECTRICITY Executive Division,Gujarat ELECTRICITY Executive Division,ELECTRICITY,ST11,54,251340000,120,0
