mp_id,constituency_id,state_id,name,normalized_name,allocated_amount,allocation_quality_flag,source_row
MP001,C001,ST01,BISHNU PADA RAY,Bishnu Pada Ray,50000000,VALID,2
MP002,C002,ST02,APPALANAIDU KALISETTI,Appalanaidu Kalisetti,50000000,VALID,3
MP003,C003,ST02,BALASHOWRY VALLABHANENI,Balashowry Vallabhaneni,50000000,VALID,4
MP004,C004,ST02,BYREDDY SHABARI,Byreddy Shabari,50000000,VALID,5
MP005,C005,ST02,CHANDRA SEKHAR PEMMASANI,Chandra Sekhar Pemmasani,50000000,VALID,6
MP006,C006,ST02,CHINTHA ANURADHA,Chintha Anuradha,50000000,VALID,7
MP007,C007,ST02,DAGUMALLA PRASADA RAO,Dagumalla Prasada Rao,50000000,VALID,8
MP008,C008,ST02,G M HARISH BALAYOGI,G M Harish Balayogi,50000000,VALID,9
MP009,C009,ST02,GUMMANUR JAYARAM,Gummanur Jayaram,50000000,VALID,10
MP010,C010,ST02,KESINENI SIVANATH,Kesineni Sivanath,50000000,VALID,11
MP011,C011,ST02,KINJARAPU RAM MOHAN NAIDU,Kinjarapu Ram Mohan Naidu,50000000,VALID,12
MP012,C012,ST02,KOTHAPALLI GEETHA,Kothapalli Geetha,50000000,VALID,13
MP013,C013,ST02,LAVU SRI KRISHNA DEVARAYALU,Lavu Sri Krishna Devarayalu,50000000,VALID,14
MP014,C014,ST02,M GURUMOORTHY,M Gurumoorthy,50000000,VALID,15
MP015,C015,ST02,MAGUNTA SREENIVASULU REDDY,Magunta Sreenivasulu Reddy,50000000,VALID,16
MP016,C016,ST02,MATHUKUMILLI BHARAT,Mathukumilli Bharat,50000000,VALID,17
MP017,C017,ST02,MIDHUN REDDY P V,Midhun Reddy P V,50000000,VALID,18
MP018,C018,ST02,PURANDESWARI DAGGUBATI,Purandeswari Daggubati,50000000,VALID,19
MP019,C019,ST02,PUTTA MAHESH KUMAR,Putta Mahesh Kumar,50000000,VALID,20
MP020,C020,ST02,RAGHU RAMA KRISHNA RAJU,Raghu Rama Krishna Raju,50000000,VALID,21
MP021,C021,ST02,TANGIRALA SOWMYA,Tangirala Sowmya,50000000,VALID,22
MP022,C022,ST02,VEMIREDDY PRABHAKAR REDDY,Vemireddy Prabhakar Reddy,50000000,VALID,23
MP023,C023,ST02,Y S AVINASH REDDY,Y S Avinash Reddy,50000000,VALID,24
MP024,C024,ST02,B K PARTHASARATHI,B K Parthasarathi,50000000,VALID,25
MP025,C025,ST02,AMBICA G LAKSHMINARAYANA,Ambica G Lakshminarayana,50000000,VALID,26
MP026,C026,ST03,KIREN RIJIJU,Kiren Rijiju,50000000,VALID,27
MP027,C027,ST03,TAPIR GAO,Tapir Gao,50000000,VALID,28
MP028,C028,ST04,BIJOY KRISHNA HANDIQUE,Bijoy Krishna Handique,50000000,VALID,29
MP029,C029,ST04,DILIP SAIKIA,Dilip Saikia,50000000,VALID,30
MP030,C030,ST04,GAURAV GOGOI,Gaurav Gogoi,50000000,VALID,31
MP031,C031,ST04,KRIPA NATH MALLAH,Kripa Nath Mallah,50000000,VALID,32
MP032,C032,ST04,MUKESH SAHARIA,Mukesh Saharia,50000000,VALID,33
MP033,C033,ST04,PARIMAL SUKLABAIDYA,Parimal Suklabaidya,50000000,VALID,34
MP034,C034,ST04,PRADYUT BORDOLOI,Pradyut Bordoloi,50000000,VALID,35
