payment_id,project_id,payment_date,payment_amount,cumulative_payment,payment_status,milestone_description,voucher_no
PAY000001,P10004,2025-06-16,869000,869000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-90435
PAY000002,P10004,2025-07-16,869000,1738000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-80264
PAY000003,P10004,2025-08-15,869000,2607000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-70626
PAY000004,P10004,2025-09-14,869000,3476000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-62908
PAY000005,P10006,2026-11-18,1128600,1128600,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2026-87765
PAY000006,P10007,2024-11-25,770000,770000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-22814
PAY000007,P10007,2024-12-25,770000,1540000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-56023
PAY000008,P10007,2025-01-24,770000,2310000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-50319
PAY000009,P10007,2025-02-23,770000,3080000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-13760
PAY000010,P10008,2024-12-22,1042200,1042200,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2024-61591
PAY000011,P10009,2025-03-25,1442500,1442500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-62057
PAY000012,P10009,2025-04-24,1442500,2885000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-12094
PAY000013,P10009,2025-05-24,1442500,4327500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-70164
PAY000014,P10009,2025-06-23,1442500,5770000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-87655
PAY000015,P10010,2026-01-08,1177500,1177500,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2025-28172
PAY000016,P10011,2026-06-16,700000,700000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-29054
PAY000017,P10011,2026-07-16,700000,1400000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-43976
PAY000018,P10011,2026-08-15,700000,2100000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-50541
PAY000019,P10011,2026-09-14,700000,2800000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-93472
PAY000020,P10013,2024-12-07,942500,942500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-98138
PAY000021,P10013,2025-01-06,942500,1885000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-85236
PAY000022,P10013,2025-02-05,942500,2827500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-50088
PAY000023,P10013,2025-03-07,942500,3770000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-20750
PAY000024,P10014,2026-10-30,665000,665000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-99549
PAY000025,P10014,2026-11-29,665000,1330000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-67827
PAY000026,P10014,2026-12-29,665000,1995000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-43027
PAY000027,P10014,2027-01-28,665000,2660000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-43203
PAY000028,P10015,2025-04-03,1340000,1340000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-90751
PAY000029,P10015,2025-05-03,1340000,2680000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-52710
PAY000030,P10015,2025-06-02,1340000,4020000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-20757
PAY000031,P10015,2025-07-02,1340000,5360000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-92947
PAY000032,P10016,2025-04-05,1158850,1158850,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-32385
PAY000033,P10016,2025-05-05,1158850,2317700,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-65779
PAY000034,P10016,2025-06-04,1158850,3476550,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-72483
PAY000035,P10016,2025-07-04,1158850,4635400,FLAGGED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-57219
PAY000036,P10018,2025-07-01,1370000,1370000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-35080
PAY000037,P10018,2025-07-31,1370000,2740000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-23983
PAY000038,P10018,2025-08-30,1370000,4110000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-42308
PAY000039,P10018,2025-09-29,1370000,5480000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-18109
PAY000040,P10019,2024-06-30,614400,614400,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-93163
PAY000041,P10019,2024-07-30,614400,1228800,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-73478
