project_id,project_name,description,category,state_id,state_name,district_id,district_name,constituency_id,constituency_name,mp_id,mp_name,ia_id,ia_name,sanction_amount,sanction_date,start_date,expected_completion_date,actual_completion_date,physical_progress,financial_progress,status,latitude,longitude,address,gps_accuracy_meters,record_source,synthetic_scenario,source_file,source_row,synthetic_seed,risk_overall_score,risk_level,risk_financial,risk_timeline,risk_compliance,risk_ia,risk_geo,risk_evidence,risk_reasons,flags_count
P10001,Primary Health Centre & Hospital - Bhimpur Ward 5,Establishment of Ayush Health and Wellness Centre with diagnostic equipment in Bhimpur Ward 5.,Primary Health Centre & Hospital,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA004,Andaman & Nicobar Islands PHED Executive Division,3110000,2026-03-17,2026-04-17,2026-12-03,,0,0,NOT_STARTED,12.1653,92.2115,"Bhimpur Ward 5, Andaman & Nicobar Islands",4,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10002,School & Educational Infra - Nehru Nagar Ward 4,"Construction of boundary wall, mid-day meal shed, and toilet block at Govt Primary School Nehru Nagar Ward 4.",School & Educational Infra,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA003,Andaman & Nicobar Islands MUNICIPAL Executive Division,2720000,2024-06-08,2024-07-10,2025-04-03,,0,0,NOT_STARTED,12.0157,92.5551,"Nehru Nagar Ward 4, Andaman & Nicobar Islands",6,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
P10003,Bridge & Culvert - Patel Chowk Ward 5,Reconstruction of dilapidated Box Culvert and approach link at Patel Chowk Ward 5.,Bridge & Culvert,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA005,Andaman & Nicobar Islands ZILLA_PARISHAD Executive Division,4110000,2026-09-05,2026-09-27,2027-07-20,,0,0,NOT_STARTED,11.363,92.6096,"Patel Chowk Ward 5, Andaman & Nicobar Islands",10,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10004,Public Solar & Street Lighting - Nehru Nagar Ward 6,Solar electrification of public facilities and market junction at Nehru Nagar Ward 6.,Public Solar & Street Lighting,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA007,Andaman & Nicobar Islands IRRIGATION Executive Division,4400000,2025-04-08,2025-05-17,2025-12-22,,72,79,IN_PROGRESS,11.2916,93.0728,"Nehru Nagar Ward 6, Andaman & Nicobar Islands",3,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10005,Drainage & Sewerage - Gopalpur Ward 4,Construction of underground drainage network and silt chamber in Gopalpur Ward 4.,Drainage & Sewerage,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA003,Andaman & Nicobar Islands MUNICIPAL Executive Division,7440000,2024-05-18,2024-06-16,2025-01-11,,0,0,NOT_STARTED,11.7307,93.0237,"Gopalpur Ward 4, Andaman & Nicobar Islands",9,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
P10006,School & Educational Infra - Shivpur Ward 13,Construction of 4 additional smart classrooms and science laboratory at Govt High School Shivpur Ward 13.,School & Educational Infra,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA002,Andaman & Nicobar Islands DRDA Executive Division,5940000,2026-09-26,2026-10-19,2027-11-11,,24,19,IN_PROGRESS,11.339,92.722,"Shivpur Ward 13, Andaman & Nicobar Islands",11,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10007,Bridge & Culvert - Anandpur Ward 2,Reconstruction of dilapidated Box Culvert and approach link at Anandpur Ward 2.,Bridge & Culvert,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA003,Andaman & Nicobar Islands MUNICIPAL Executive Division,3080000,2024-10-05,2024-10-26,2025-05-02,2025-05-02,100,100,COMPLETED,11.3978,92.6016,"Anandpur Ward 2, Andaman & Nicobar Islands",10,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10008,School & Educational Infra - Rajendra Nagar Ward 6,"Construction of boundary wall, mid-day meal shed, and toilet block at Govt Primary School Rajendra Nagar Ward 6.",School & Educational Infra,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA003,Andaman & Nicobar Islands MUNICIPAL Executive Division,3860000,2024-11-04,2024-11-22,2025-07-12,,24,27,IN_PROGRESS,11.7157,92.5781,"Rajendra Nagar Ward 6, Andaman & Nicobar Islands",12,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
P10009,Primary Health Centre & Hospital - Bhimpur Ward 3,Establishment of Ayush Health and Wellness Centre with diagnostic equipment in Bhimpur Ward 3.,Primary Health Centre & Hospital,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA007,Andaman & Nicobar Islands IRRIGATION Executive Division,5770000,2025-01-26,2025-02-23,2025-12-27,2025-12-27,100,100,COMPLETED,12.0287,93.0619,"Bhimpur Ward 3, Andaman & Nicobar Islands",7,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10010,Bridge & Culvert - Rampur Ward 9,Construction of RCC High Level Bridge across local stream at Rampur Ward 9.,Bridge & Culvert,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA006,Andaman & Nicobar Islands ELECTRICITY Executive Division,4710000,2025-11-22,2025-12-09,2026-09-11,,21,25,IN_PROGRESS,11.4588,92.8478,"Rampur Ward 9, Andaman & Nicobar Islands",5,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10011,Primary Health Centre & Hospital - Krishnanagar Ward 1,Establishment of Ayush Health and Wellness Centre with diagnostic equipment in Krishnanagar Ward 1.,Primary Health Centre & Hospital,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA003,Andaman & Nicobar Islands MUNICIPAL Executive Division,2800000,2026-04-22,2026-05-17,2027-06-27,2027-06-27,100,100,COMPLETED,11.676,92.9858,"Krishnanagar Ward 1, Andaman & Nicobar Islands",9,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10012,Bridge & Culvert - Govindpur Ward 8,Construction of RCC High Level Bridge across local stream at Govindpur Ward 8.,Bridge & Culvert,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA003,Andaman & Nicobar Islands MUNICIPAL Executive Division,1870000,2024-10-14,2024-11-16,2025-12-25,,0,0,NOT_STARTED,11.6845,92.4395,"Govindpur Ward 8, Andaman & Nicobar Islands",7,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
P10013,Road & Transport - Govindpur Ward 12,Construction and blacktopping of CC road from Govindpur Ward 12 to Vivekananda Pally Chowk in BISHNU PADA RAY.,Road & Transport,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA003,Andaman & Nicobar Islands MUNICIPAL Executive Division,3770000,2024-10-15,2024-11-07,2025-10-12,2025-10-12,100,100,COMPLETED,12.1733,92.5827,"Govindpur Ward 12, Andaman & Nicobar Islands",5,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
