state_id,name,normalized_name,state_type,total_mps,total_allocated,latitude,longitude
ST01,ANDAMAN AND NICOBAR ISLANDS,Andaman & Nicobar Islands,UNION_TERRITORY,1,50000000,11.7401,92.6586
ST02,ANDHRA PRADESH,Andhra Pradesh,STATE,25,1250000000,15.9129,79.74
ST03,ARUNACHAL PRADESH,Arunachal Pradesh,STATE,2,100000000,28.218,94.7278
ST04,ASSAM,Assam,STATE,14,700000000,26.2006,92.9376
ST05,BIHAR,Bihar,STATE,40,2000000000,25.0961,85.3131
ST06,CHANDIGARH,Chandigarh,UNION_TERRITORY,1,50000000,30.7333,76.7794
ST07,CHHATTISGARH,Chhattisgarh,STATE,11,550000000,21.2787,81.8661
ST08,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli & Daman & Diu,UNION_TERRITORY,2,100000000,20.4283,72.8397
ST09,DELHI,Delhi (NCT),UNION_TERRITORY,7,350000000,28.7041,77.1025
ST10,GOA,Goa,STATE,2,100000000,15.2993,74.124
ST11,GUJARAT,Gujarat,STATE,26,1300000000,22.2587,71.1924
ST12,HARYANA,Haryana,STATE,10,500000000,29.0588,76.0856
ST13,HIMACHAL PRADESH,Himachal Pradesh,STATE,4,200000000,31.1048,77.1734
ST14,JAMMU AND KASHMIR,Jammu & Kashmir,UNION_TERRITORY,5,250000000,33.7782,76.5762
ST15,JHARKHAND,Jharkhand,STATE,14,700000000,23.6102,85.2799
ST16,KARNATAKA,Karnataka,STATE,28,1400000000,15.3173,75.7139
ST17,KERALA,Kerala,STATE,20,1000000000,10.8505,76.2711
ST18,LADAKH,Ladakh,UNION_TERRITORY,1,50000000,34.1526,77.5771
ST19,LAKSHADWEEP,Lakshadweep,UNION_TERRITORY,1,50000000,10.5667,72.6417
ST20,MADHYA PRADESH,Madhya Pradesh,STATE,29,1450000000,22.9734,78.6569
ST21,MAHARASHTRA,Maharashtra,STATE,48,2350000000,19.7515,75.7139
ST22,MANIPUR,Manipur,STATE,2,100000000,24.6637,93.9063
ST23,MEGHALAYA,Meghalaya,STATE,2,100000000,25.467,91.3662
ST24,MIZORAM,Mizoram,STATE,1,50000000,23.1645,92.9376
ST25,NAGALAND,Nagaland,STATE,1,50000000,26.1584,94.5624
ST26,ODISHA,Odisha,STATE,21,1050000000,20.9517,85.0985
ST27,PUDUCHERRY,Puducherry,UNION_TERRITORY,1,50000000,11.9416,79.8083
ST28,PUNJAB,Punjab,STATE,13,650000000,31.1471,75.3412
ST29,RAJASTHAN,Rajasthan,STATE,25,1250000000,27.0238,74.2179
ST30,SIKKIM,Sikkim,STATE,1,50000000,27.533,88.5122
ST31,TAMIL NADU,Tamil Nadu,STATE,39,1950000000,11.1271,78.6569
ST32,TELANGANA,Telangana,STATE,17,850000000,18.1124,79.0193
ST33,TRIPURA,Tripura,STATE,2,100000000,23.9408,91.9882
ST34,UTTAR PRADESH,Uttar Pradesh,STATE,80,4000000000,26.8467,80.9462
ST35,UTTARAKHAND,Uttarakhand,STATE,5,250000000,30.0668,79.0193
ST36,WEST BENGAL,West Bengal,STATE,42,2100000000,22.9868,87.855
