"Sr. No.","State","Hon'ble Members of Parliaments","Constituency","Allocated AMOUNT ( ₹ )"
"1","ANDAMAN AND NICOBAR ISLANDS","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","50,000,000"
"2","ANDHRA PRADESH","APPALANAIDU KALISETTI","VIZIANAGARAM","50,000,000"
"3","ANDHRA PRADESH","BALASHOWRY VALLABHANENI","MACHILIPATNAM","50,000,000"
"4","ANDHRA PRADESH","BYREDDY SHABARI","NANDYAL","50,000,000"
"5","ANDHRA PRADESH","CHANDRA SEKHAR PEMMASANI","GUNTUR","50,000,000"
"6","ANDHRA PRADESH","CHINTHA ANURADHA","AMALAPURAM","50,000,000"
"7","ANDHRA PRADESH","DAGUMALLA PRASADA RAO","CHITTOOR","50,000,000"
"8","ANDHRA PRADESH","G M HARISH BALAYOGI","AMALAPURAM","50,000,000"
"9","ANDHRA PRADESH","GUMMANUR JAYARAM","KURNOOL","50,000,000"
"10","ANDHRA PRADESH","KESINENI SIVANATH","VIJAYAWADA","50,000,000"
"11","ANDHRA PRADESH","KINJARAPU RAM MOHAN NAIDU","SRIKAKULAM","50,000,000"
"12","ANDHRA PRADESH","KOTHAPALLI GEETHA","ARAKU","50,000,000"
"13","ANDHRA PRADESH","LAVU SRI KRISHNA DEVARAYALU","NARASARAOPET","50,000,000"
"14","ANDHRA PRADESH","M GURUMOORTHY","TIRUPATI","50,000,000"
"15","ANDHRA PRADESH","MAGUNTA SREENIVASULU REDDY","ONGOLE","50,000,000"
"16","ANDHRA PRADESH","MATHUKUMILLI BHARAT","VISAKHAPATNAM","50,000,000"
"17","ANDHRA PRADESH","MIDHUN REDDY P V","RAJAMPET","50,000,000"
"18","ANDHRA PRADESH","PURANDESWARI DAGGUBATI","RAJAHMUNDRY","50,000,000"
"19","ANDHRA PRADESH","PUTTA MAHESH KUMAR","ELURU","50,000,000"
"20","ANDHRA PRADESH","RAGHU RAMA KRISHNA RAJU","NARASAPURAM","50,000,000"
"21","ANDHRA PRADESH","TANGIRALA SOWMYA","NANDIGAMA","50,000,000"
"22","ANDHRA PRADESH","VEMIREDDY PRABHAKAR REDDY","NELLORE","50,000,000"
"23","ANDHRA PRADESH","Y S AVINASH REDDY","KADAPA","50,000,000"
"24","ANDHRA PRADESH","B K PARTHASARATHI","HINDUPUR","50,000,000"
"25","ANDHRA PRADESH","AMBICA G LAKSHMINARAYANA","ANANTAPUR","50,000,000"
"26","ARUNACHAL PRADESH","KIREN RIJIJU","ARUNACHAL WEST","50,000,000"
"27","ARUNACHAL PRADESH","TAPIR GAO","ARUNACHAL EAST","50,000,000"
"28","ASSAM","BIJOY KRISHNA HANDIQUE","JORHAT","50,000,000"
"29","ASSAM","DILIP SAIKIA","DARRANG-UDALGURI","50,000,000"
"30","ASSAM","GAURAV GOGOI","JORHAT","50,000,000"
"31","ASSAM","KRIPA NATH MALLAH","KARIMGANJ","50,000,000"
"32","ASSAM","MUKESH SAHARIA","TEZPUR","50,000,000"
"33","ASSAM","PARIMAL SUKLABAIDYA","SILCHAR","50,000,000"
"34","ASSAM","PRADYUT BORDOLOI","NAGAON","50,000,000"
"35","ASSAM","RAKIBUL HUSSAIN","DHUBRI","50,000,000"
"36","ASSAM","RANJIT DUTTA","SONITPUR","50,000,000"
"37","ASSAM","SARBANANDA SONOWAL","DIBRUGARH","50,000,000"
"38","ASSAM","AMARSING TISSO","DIPHU","50,000,000"
"39","ASSAM","BIJULI KALITA MEDHI","GUWAHATI","50,000,000"
"40","ASSAM","JAYANTA BASUMATARY","KOKRAJHAR","50,000,000"
"41","ASSAM","PHANI BHUSAN CHOUDHURY","BARPETA","50,000,000"
"42","BIHAR","ABHAY KUMAR SINHA","AURANGABAD","50,000,000"
"43","BIHAR","ALOK KUMAR SUMAN","GOPALGANJ","50,000,000"
"44","BIHAR","ASHOK KUMAR YADAV","MADHUBANI","50,000,000"
"45","BIHAR","CHIRAG PASWAN","HAJIPUR","50,000,000"
"46","BIHAR","DEVESH CHANDRA THAKUR","SITAMARHI","50,000,000"
"47","BIHAR","DILESHWAR KAMAIT","SUPAUL","50,000,000"
"48","BIHAR","DINESH CHANDRA YADAV","MADHEPURA","50,000,000"
"49","BIHAR","GIRIRAJ SINGH","BEGUSARAI","50,000,000"
"50","BIHAR","GOPAL JEE THAKUR","DARBHANGA","50,000,000"
"51","BIHAR","JITAN RAM MANJHI","GAYA","50,000,000"
"52","BIHAR","LALAN SINGH","MUNGER","50,000,000"
"53","BIHAR","LOVELY ANAND","SHEOHAR","50,000,000"
"54","BIHAR","MISA BHARTI","PATLIPUTRA","50,000,000"
"55","BIHAR","MOHAMMAD JAWED","KISHANGANJ","50,000,000"
"56","BIHAR","MUKESH SAHANI","KHAGARIA","50,000,000"
"57","BIHAR","NITYANAND RAI","UJIARPUR","50,000,000"
"58","BIHAR","PAPPU YADAV","PURNEA","50,000,000"
"59","BIHAR","PRADEEP KUMAR SINGH","ARARIA","50,000,000"
"60","BIHAR","RADHA MOHAN SINGH","PURVI CHAMPARAN","50,000,000"
"61","BIHAR","RAJ BHUSHAN CHOUDHARY","MUZAFFARPUR","50,000,000"
"62","BIHAR","RAJIV PRATAP RUDY","SARAN","50,000,000"
"63","BIHAR","RAM KRIPAL YADAV","PATLIPUTRA","50,000,000"
"64","BIHAR","RAMPRIT MANDAL","JHANJHARPUR","50,000,000"
"65","BIHAR","RAVI SHANKAR PRASAD","PATNA SAHIB","50,000,000"
"66","BIHAR","SAMBHAVI CHOUDHARY","SAMASTIPUR","50,000,000"
"67","BIHAR","SANJAY JAISWAL","PASCHIM CHAMPARAN","50,000,000"
"68","BIHAR","SANTOSH KUMAR","PURNEA","50,000,000"
"69","BIHAR","SHAMBHAVI CHOUDHARY","SAMASTIPUR","50,000,000"
"70","BIHAR","SUDAMA PRASAD","ARRAH","50,000,000"
"71","BIHAR","SUDHAKAR SINGH","BUXAR","50,000,000"
"72","BIHAR","SURENDRA PRASAD YADAV","JAHANABAD","50,000,000"
"73","BIHAR","TARIQ ANWAR","KATIHAR","50,000,000"
"74","BIHAR","VIVEK THAKUR","NAWADA","50,000,000"
"75","BIHAR","DULAL CHANDRA GOSWAMI","KATIHAR","50,000,000"
"76","BIHAR","SUNIL KUMAR","VALMIKI NAGAR","50,000,000"
"77","BIHAR","AJAY KUMAR MANDAL","BHAGALPUR","50,000,000"
"78","BIHAR","GIRIDHARI YADAV","BANKA","50,000,000"
"79","BIHAR","JANARDAN SINGH SIGRIWAL","MAHARAJGANJ","50,000,000"
"80","BIHAR","KAVITA SINGH","SIWAN","50,000,000"
"81","BIHAR","VEENA DEVI","VAISHALI","50,000,000"
"82","CHANDIGARH","MANISH TEWARI","CHANDIGARH","50,000,000"
"83","CHHATTISGARH","BRIJMOHAN AGRAWAL","RAIPUR","50,000,000"
"84","CHHATTISGARH","CHHINTAMANI MAHARAJ","SURGUJA","50,000,000"
"85","CHHATTISGARH","DEVENDRA YADAV","BILASPUR","50,000,000"
